S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
17,C003,ACID PHOSPHATASE - TOTAL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,175,400,43.8%
18,C010,ACTH (ADRENOCORTICOTROPIC HORMONE),2ml.(1ml. Minimum)EDTA Plasma/Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,825,2050,40.2%
19,H010,ACTIVATED PARTIAL THROMBOPLASTIN TIME(APTT/PTTK),"Preparation of PPP : Centrifuge the blood
sample at 3000rpm for 15 minutes within 1 hr. of collection to separate the plasma.
Transfer the Plasma obtained to a clean","Local samples: 2-8° C to reach lab in 3 hours. Outstation
samples:(-20°C)",,Triggered Coagulation & Clot Detection,5.30 PM,Same Day,150,500,30.0%
20,H175,ACUTE LEUKEMIA - MRD PANEL (MRD & RELAPSE),5ml.(3ml Minimum) blood in green top Heparin veil,Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,3rd Working Day,9250,13250,69.8%
21,H560,"ACUTE LEUKEMIA BASIC LINEAGE (T, B, MYELOID) PANEL",B.Marrow Heparinized,Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,3rd Working Day,5050,7550,66.9%
22,H180,ACUTE LEUKEMIA COMPREHENSIVE DIAGNOSTIC PANEL (ALL),B.Marrow Heparinized,Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,3rd Working Day,8150,11800,69.1%
23,H185,ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) CHARACTERIZATION PANEL,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,3rd Working Day,6850,10500,65.2%
24,P089,ACUTE MYELOID LEUKEMIA (AML) - FLT3 MUTATIONS,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,FLOW CYTOMETRY,4.30 PM,3rd Working Day,3350,5850,57.3%
25,H174,ACUTE MYELOID LEUKEMIA (AML) CHARACTERIZATION PANEL,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,3rd Working Day,6850,10500,65.2%
26,P092,ACUTE MYELOID LEUKEMIA (AML)-NPM1 GENE MUTATIONS,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,FLOW CYTOMETRY,4.30 PM,3rd Working Day,2550,4550,56.0%
27,P037,ACUTE PROMYELOID LEUKEMIA (APML) - PML-RARA,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Brief clinical history mandatory,FLOW CYTOMETRY,4.30 PM,3rd Working Day,3750,5850,64.1%
28,C004,ADENOSINE DEAMINASE - ASCITIC FLUID,2 ml. (1 ml. Minimum)ASCITIC FLUID,Refrigerated(2-8°C),Haemolysed samples are not acceptable.,Chemiluminisc ence,5.30 PM,Same Day,230,600,38.3%
29,C253,ADENOSINE DEAMINASE - PLEURAL FLUID,2 ml. (1 ml. Minimum)PLEURAL FLUID,Refrigerated(2-8°C),Haemolysed samples are not acceptable.,Chemiluminisc ence,5.30 PM,Same Day,230,600,38.3%
30,C251,ADENOSINE DEAMINASE - SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Haemolysed samples are not acceptable.,Chemiluminisc ence,5.30 PM,Same Day,230,600,38.3%
31,C270,ADENOSINE DEAMINASE - SYNOVIAL FLUID,2 ml. (1 ml. Minimum) SYNOVIAL FLUID,Refrigerated(2-8°C),Haemolysed samples are not acceptable.,Chemiluminisc ence,5.30 PM,Same Day,230,600,38.3%
32,C252,ADENOSINE DEAMINASE (ADA)-CSF,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),Haemolysed samples are not acceptable.,Chemiluminisc ence,5.30 PM,Same Day,230,600,38.3%
33,C250,ADENOSINE DEAMINASE- FLUID,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),Haemolysed samples are not acceptable.,Chemiluminisc ence,5.30 PM,Same Day,230,600,38.3%
34,C272,ADH (ANTIDIURETIC HORMONE) - HORMONE ASSAYS,2ml.(1ml. Minimum)EDTA Plasma/Serum,Refrigerated(2-8°C),,Radio Immunoassay,4.30 PM,Next day Evening Except Sunday,3750,5850,64.1%
35,M033,AFB (Ziehl Nelsen) STAIN,Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,5.30 PM,Same Day,85,190,44.7%
36,M050,AFB BACTEC STAIN & MGIT CULTURE (ANY THREE SAMPLES),2 ml. (1 ml.  Minimum) Serum,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,4.30 PM,4th TO 6th Week,750,1550,48.4%
37,M006,AFB CULTURE (L-J),Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,4.30 PM,6th TO 8th Week,300,700,42.9%
38,M048,AFB CULTURE (WITHOUT IDENTIFICATION),Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,4.30 PM,4th TO 6th Week,750,1550,48.4%
39,M005,AFB RAPID CULTURE (BD BACTEC MGIT),Any Sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Conventional culture and sensitivity,4.30 PM,4th TO 6th Week,500,1150,43.5%
40,M065,"AFB SENSITIVITY, SINGLE DRUG : CIPROFLOXACIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
41,M061,"AFB SENSITIVITY, SINGLE DRUG
:CLOFAZIMINE",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
42,M056,"AFB SENSITIVITY, SINGLE DRUG
:ETHAMBUTOL",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
43,M059,"AFB SENSITIVITY, SINGLE DRUG
:ETHIONAMIDE",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
44,M054,"AFB SENSITIVITY, SINGLE DRUG
:ISONIAZID",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
45,M062,"AFB SENSITIVITY, SINGLE DRUG
:OFLOXACIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
46,M053,"AFB SENSITIVITY, SINGLE DRUG
:PYRAZINAMIDE",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
47,M057,"AFB SENSITIVITY,SINGLE DRUG
:KANAMYCINA",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
48,M055,"AFB SENSITIVITY,SINGLE DRUG
:RIFAMPICIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
49,A057-C,AFB STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
50,M058,"AFB-SUSCEPTIBILITY, SINGLE DRUG : AMIKACIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
51,M060,"AFB-SUSCEPTIBILITY, SINGLE DRUG : CAPREOMYCIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
52,M064,"AFB-SUSCEPTIBILITY, SINGLE DRUG : ERYTHROMYCIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
53,M066,"AFB-SUSCEPTIBILITY, SINGLE DRUG : LEVOFLOXACIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
54,M052,"AFB-SUSCEPTIBILITY, SINGLE DRUG : STREPTOMYCIN",Positive culture of any sample,AMBIENT (18-25° C),Send Sample In Sterile Container,Automated Sensitivity,4.30 PM,28th - 32nd Working Day,1450,2650,54.7%
55,M039,ALBERT STAIN (C.Diphtheriae),Swab,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,4.30 PM,Next day Evening Except Sunday,115,250,46.0%
56,C012,ALBUMIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Chemiluminisc ence,5.30 PM,Same Day,60,150,40.0%
57,C236,ALBUMIN:GLOBULIN (A:G) RATIO,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,115,250,46.0%
58,A060,ALCIAN BLUE STAIN,Culture Specimen,Refrigerated(2-8°C),Brief clinical history mandatory,Microscopy,4.30 PM,Next day Evening Except Sunday,280,600,46.7%
59,C014,ALCOHOL,"2 ml. (1 ml. Minimum)Fluoride, Plasma or Serum",Refrigerated(2-8°C),Do not use spirit swab while collecting blood sample.,Spectrophotom etry,4.30 PM,Next day Evening Except Sunday,780,1600,48.8%
60,C016,ALDOLASE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred..
Hemolysed
sample is not acceptable",Spectrophotom etry,4.30 PM,3rd Working Day,400,850,47.1%
61,C017,ALDOSTERONE (SERUM)- HORMONE ASSAYS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,2050,41.5%
62,C018,ALKALINE PHOSPHATASE (ALP),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry(IFCC),5.30 PM,Same Day,60,150,40.0%
63,C019,ALLERGY - FOOD (FOOD+NON VEG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,2450,4850,50.5%
64,C021,ALLERGY - FOOD(VEG ONLY),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,1750,4050,43.2%
65,C020,ALLERGY - INHALANT,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,1750,4050,43.2%
66,C223,ALLERGY - WITHOUT DURGS (FOOD+INHALANT+NON VEG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,2850,6500,43.8%
67,C274,ALLERGY COMPREHENSIVE PANEL(FOOD+INHALANT+NON VEG+DRUG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,3250,8500,38.2%
68,C1257,ALLERGY CONTACTS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,2450,4850,50.5%
69,C290,ALLERGY DRUGS- 31 DRUGS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,2450,4850,50.5%
70,C1239,ALLERGY- WITHOUT NON VEG (FOOD+INHALANT),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,3rd Working Day,2850,6500,43.8%
71,C278,ALPHA FETO PROTEIN (AFP) - TITRE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,350,950,36.8%
72,C022,ALPHA FETO PROTEIN (AFP) TUMOR MARKER,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,280,850,32.9%
73,C023,ALPHA FETO PROTEIN (AFP)-ASCITIC FLUID,2ml.(1ml. Minimum)EDTA Plasma/Serum,Refrigerated(2-8°C),Brief clinical history mandatory,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,300,850,35.3%
74,C234,ALPHA HYDROXY BUTYRATE DEHYDROGENASE (HBDH)- LDH -1,"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,3rd Working Day,400,850,47.1%
75,C260,ALPHA-1 ACID GLYCOPROTEIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Electro
Chemiluminesc ence Immunoassay",4.30 PM,3rd Working Day,1250,2450,51.0%
76,C024,ALPHA-1 ANTI TRYPSIN QUANTITATIVE,2 ml.(1 ml. Minimum) Serum,Refrigerated(2-8°C),,Nephelometry,4.30 PM,Same Day,950,1850,51.4%
77,C025,ALUMINIUM,2 ml.(1 ml. Minimum) Serum,Refrigerated(2-8°C),Do Not Use Aluminium Foil For Wrapping,"GraphiteFurnac eAtomicAbsorp tionSpectromet
ry(GFAAS)",4.30 PM,3rd Working Day,1250,2450,51.0%
78,C210,AMINOLVULINIC ACID (ALA),"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,"GraphiteFurnac eAtomicAbsorp tionSpectromet
ry(GFAAS)",4.30 PM,Next day Evening Except Sunday,2650,4050,65.4%
79,P091,AML COMBO III,Bone Marrow 2ml. (1ml. Minimum) EDTA,Refrigerated(2-8°C),Brief clinical history mandatory,FLOW CYTOMETRY,4.30 PM,3rd Working Day,6850,9850,69.5%
80,H186,AML TRANSLOCATION PANEL,B.Marrow/P Bld. EDTA,Refrigerated(2-8°C),Brief clinical history mandatory,Multiplesx RT PCR,4.30 PM,3rd Working Day,2050,4850,42.3%
81,C026,AMMONIA,3 ml.(2 ml. Minimum) Whole Blood in 1 EDTA (Lavender top) tube,Refrigerated(2-8°C),"Avoid haemolysis.Separate plasma
immediately & transferonto ICE for transport.DO NOT FREEZE.Please mention time ofcollection of sample.",Spectrophotom etry,4.30 PM,Same Day,550,1050,52.4%
82,S242,AMOEBIC SEROLOGY(LIVER ABSCESS),LIVER ABCESS,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
83,C027,AMYLASE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,Same Day,230,460,50.0%
84,C1322,AMYLASE - 24Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,4.30 PM,Same Day,230,460,50.0%
85,C1323,AMYLASE - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,4.30 PM,Same Day,230,460,50.0%
86,S116,ANA / ENA BLOT PROFILE - QUALITATIVE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immuno Fluorescence,4.30 PM,Next day Evening Except Sunday,2250,5000,45.0%
87,C029,ANDROSTENEDIONE (A4) - HORMONE ASSAYS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,1040,2250,46.2%
88,C030,ANGIOTENSIN CONVERTING ENZYME (ACE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Spectrophotom etry,5.30 PM,Same Day,525,950,55.3%
89,S024,ANTI CARDIOLIPIN ANTIBODY IgA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,280,750,37.3%
90,S025,ANTI CARDIOLIPIN ANTIBODY IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,280,750,37.3%
91,S026,ANTI CARDIOLIPIN ANTIBODY IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,280,750,37.3%
92,AB003,ANTI CCP (ANTI CYCLIC CIRULLINATED PEPTIDE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,650,1300,50.0%
93,S004,ANTI CYSTICERCOSIS ANTIBODY (TAENIA SOLIUM)-IGG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),3.00 PM,Next day Evening Except Sunday,650,1500,43.3%
94,C1325,ANTI DNASE B,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Agglutination,4.30 PM,Next day Evening Except Sunday,700,1450,48.3%
95,S006,ANTI DS DNA ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,350,850,41.2%
96,S005,ANTI DS- DNA ANTIBODY - TITRE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",3.00 PM,,1500,2450,61.2%
97,S007,"ANTI DS DNA ANTIBODY, IFA - AUTO - IMMUNE TEST MEN",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",4.30 PM,2nd Working Day,950,1850,51.4%
98,S082,ANTI JO-1 ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
99,S008,ANTI MITOCHONDRIAL ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.","IFA
(Immunofluore scenceAssay)",4.30 PM,2nd Working Day,800,1800,44.4%
100,S009,ANTI MITOCHONDRIAL ANTIBODY - IFA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.","IFA
(Immunofluore scenceAssay)",4.30 PM,2nd Working Day,950,2050,46.3%
101,S110,ANTI MULLERIAN HORMONE (AMH),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Date Of Birth And LMP Required,"Electro
Chemiluminsce ne Assay (ECLIA)",5.30 PM,Same Day,950,1900,50.0%
102,S001,ANTI NEUTROPHILIC CYTOPLASMIC ANTIBODY (ANCA) -C,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,550,1400,39.3%
103,S011,ANTI NEUTROPHILIC CYTOPLASMIC ANTIBODY (ANCA) TITRE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",4.30 PM,2nd Working Day,1850,2850,64.9%
104,S010,ANTI NEUTROPHILIC CYTOPLASMIC ANTIBODY (ANCA)-IFA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunofluores cence-Microscopy,4.30 PM,2nd Working Day,900,2050,43.9%
105,S012,ANTI NUCLEAR ANTIBODY (ANA),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,230,750,30.7%
106,S014,ANTI NUCLEAR ANTIBODY -TITRES,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",4.30 PM,3rd Working Day,1150,2550,45.1%
107,S013,ANTI NUCLEAR ANTIBODY-IFA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",4.30 PM,2nd Working Day,450,1250,36.0%
108,S161,ANTI PHOSPHOLIPID ANTIBODY IgA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,280,750,37.3%
109,S015,ANTI PHOSPHOLIPID ANTIBODY IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,280,750,37.3%
110,S016,ANTI PHOSPHOLIPID ANTIBODY IGM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,280,750,37.3%
111,S202,ANTI SACCHROMYSES CEREVISIAE IgA (ASCA-IgA),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,2nd Working Day,800,2050,39.0%
112,S201,ANTI SACCHROMYSES CEREVISIAE IgG (ASCA- IgG),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,2nd Working Day,800,2050,39.0%
113,S017,ANTI SMOOTH ANTIBODY (ANTI SM),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
114,C284,ANTI SOLUBLE LIVER ANTIGEN (SLA),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Enzyme linked immunosorben t assay (ELISA),4.30 PM,3rd Working Day,1150,1850,62.2%
115,S020,ANTI SPERM ANTIBODY - AUTO - IMMUNE TEST MENU,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,400,1050,38.1%
116,S075,ANTI SS-A ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
